#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Pneumocystis carinii B80	1408658	PRJNA223511	223511	Fungi	Ascomycetes	7.66146	27.8	GCA_001477545.1	-	LFVZ01	62	3695	3646	22/12/2015	22/12/2015	Contig	Broad Institute	SAMN02380717
Schizosaccharomyces pombe	4896	PRJNA13836	13836	Fungi	Ascomycetes	12.5913	36.0381	GCA_000002945.2	chromosome I:NC_003424.3/CU329670.1; chromosome II:NC_003423.3/CU329671.1; chromosome III:NC_003421.2/CU329672.1; mitochondrion MT:NC_001326.1/X54421.1	-	4	6974	5131	28/2/2002	14/7/2022	Chromosome	S. pombe European Sequencing Consortium (EUPOM)	SAMEA3138176
Saccharomyces cerevisiae S288C	559292	PRJNA43747	43747	Fungi	Ascomycetes	12.1571	38.1556	GCA_000146045.2	chromosome I:NC_001133.9/BK006935.2; chromosome II:NC_001134.8/BK006936.2; chromosome III:NC_001135.5/BK006937.2; chromosome IV:NC_001136.10/BK006938.2; chromosome V:NC_001137.3/BK006939.2; chromosome VI:NC_001138.5/BK006940.2; chromosome VII:NC_001139.9/BK006941.2; chromosome VIII:NC_001140.6/BK006934.2; chromosome IX:NC_001141.2/BK006942.2; chromosome X:NC_001142.9/BK006943.2; chromosome XI:NC_001143.9/BK006944.2; chromosome XII:NC_001144.5/BK006945.2; chromosome XIII:NC_001145.3/BK006946.2; chromosome XIV:NC_001146.8/BK006947.3; chromosome XV:NC_001147.6/BK006948.2; chromosome XVI:NC_001148.4/BK006949.2; mitochondrion MT:NC_001224.1/	-	17	6464	6016	8/11/1999	30/6/2022	Complete Genome	Saccharomyces Genome Database	-
Aspergillus nidulans FGSC A4	227321	PRJNA848821	848821	Fungi	Ascomycetes	29.8283	50.37	GCA_000011425.1	chromosome I:NC_066257.1/BN001301.1; chromosome II:NC_066258.1/BN001302.1; chromosome III:NC_066259.1/BN001303.1; chromosome IV:NC_066260.1/BN001304.1; chromosome V:NC_066261.1/BN001305.1; chromosome VI:NC_066262.1/BN001306.1; chromosome VII:NC_066263.1/BN001307.1; chromosome VIII:NC_066264.1/BN001308.1	-	8	10518	10455	24/9/2009	14/9/2022	Chromosome	NCBI	SAMEA2272224
Aspergillus fumigatus Af293	330879	PRJNA131	131	Fungi	Ascomycetes	29.385	49.8105	GCA_000002655.1	chromosome 1:NC_007194.1/CM000169.1; chromosome 2:NC_007195.1/CM000170.1; chromosome 3:NC_007196.1/CM000171.1; chromosome 4:NC_007197.1/CM000172.1; chromosome 5:NC_007198.1/CM000173.1; chromosome 6:NC_007199.1/CM000174.1; chromosome 7:NC_007200.1/CM000175.1; chromosome 8:NC_007201.1/CM000176.1	AAHF01	8	19831	19260	1/6/2005	4/8/2014	Chromosome	J. Craig Venter Institute	SAMN00115746
Neurospora crassa OR74A	367110	PRJNA13841	13841	Fungi	Ascomycetes	41.1024	48.2319	GCA_000182925.2	linkage group I:NC_026501.1/CM002236.1; linkage group II:NC_026502.1/CM002237.1; linkage group III:NC_026503.1/CM002238.1; linkage group IV:NC_026504.1/CM002239.1; linkage group V:NC_026505.1/CM002240.1; linkage group VI:NC_026506.1/CM002241.1; linkage group VII:NC_026507.1/CM002242.1; mitochondrion MT:NC_026614.1/KC683708.1	AABX03	21	10590	10812	12/3/2003	6/8/2014	Chromosome	Broad Institute	SAMN02953583
Candida albicans SC5314	237561	PRJNA10701	10701	Fungi	Ascomycetes	14.2827	33.4827	GCA_000182965.3	chromosome 1:NC_032089.1/CP017623.1; chromosome 2:NC_032090.1/CP017624.1; chromosome 3:NC_032091.1/CP017625.1; chromosome 4:NC_032092.1/CP017626.1; chromosome 5:NC_032093.1/CP017627.1; chromosome 6:NC_032094.1/CP017628.1; chromosome 7:NC_032095.1/CP017629.1; chromosome R:NC_032096.1/CP017630.1	-	8	6263	6030	12/10/2016	18/4/2022	Chromosome	Stanford University	SAMN02953594
Encephalitozoon cuniculi GB-M1	284813	PRJNA13833	13833	Fungi	Other Fungi	2.49752	47.3005	GCA_000091225.2	chromosome I:NC_003242.2/AL391737.2; chromosome II:NC_003229.1/AL590442.1; chromosome III:NC_003230.1/AL590443.1; chromosome IV:NC_003231.1/AL590444.1; chromosome V:NC_003232.1/AL590445.1; chromosome VI:NC_003233.1/AL590446.1; chromosome VII:NC_003234.1/AL590447.1; chromosome VIII:NC_003235.1/AL590448.1; chromosome IX:NC_003238.2/AL590451.2; chromosome X:NC_003236.1/AL590449.1; chromosome XI:NC_003237.2/AL590450.2	-	11	2155	2122	5/2/2001	22/12/2022	Chromosome	Genoscope	SAMEA3138295
Aspergillus terreus NIH2624	341663	PRJNA15631	15631	Fungi	Ascomycetes	29.364	52.8	GCA_000149615.1	-	AAJN01	27	10551	10401	9/9/2005	6/8/2014	Scaffold	Broad Institute	SAMN02953635
Fusarium graminearum PH-1	229533	PRJNA13839	13839	Fungi	Ascomycetes	36.458	48.3278	GCA_000240135.3	chromosome 1:NC_026474.1/CM000574.1; chromosome 2:NC_026475.1/CM000575.1; chromosome 3:NC_026476.1/CM000576.1; chromosome 4:NC_026477.1/CM000577.1	AACM02	31	13726	13313	9/5/2003	6/8/2014	Chromosome	International Gibberella zeae Genomics Consortium	SAMN02953593
