Species,AltNames,GenoSero-types,Disease_type,Disease_Name,Tax_ID,NCBI_Genbank_ID,Status,Commensal,NNDSS_Notifiable,Reference,Version added
Abiotrophia defectiva,,,bacterial,,46125,NZ_CP053988.1,is a known pathogen,,,1,1.0.0
Achromobacter xylosoxidans,,,bacterial,,85698,NZ_CP068211.1,is a known pathogen,,,1,1.0.0
Acinetobacter baumannii,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Acinetobacter junii,,,bacterial,,,,is a known pathogen,,,,1.0.1
Actinomadura madurae,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Actinomadura pelletieri,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Actinomyces gerencseriae,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Actinomyces israelii,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Actinotignum schaalii,,,bacterial,,59505,NZ_CP008802.1,is a known pathogen,,,1,1.0.0
Aerococcus sanguinicola,,,bacterial,,119206,,is a known pathogen,,,1,1.0.0
Aerococcus urinae,,,bacterial,,1376,NZ_CP014161.1,is a known pathogen,,,1,1.0.0
Aeromonas caviae,,,bacterial,,648,NZ_AP022254.1,is a known pathogen,,,1,1.0.0
Aeromonas hydrophila,,,bacterial,,644,NZ_CP065651.1,is a known pathogen,,,1,1.0.0
Aeromonas veronii,,,bacterial,,654,NZ_CP044060.1,is a known pathogen,,,1,1.0.0
Aggregatibacter actinomycetemcomitans,,,bacterial,,714,NZ_CP085096.1,is a known pathogen,,,1,1.0.0
Aggregatibacter aphrophilus,,,bacterial,,732,NZ_LR134327.1,is a known pathogen,,,1,1.0.0
Agrobacterium tumefaciens,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Anaerococcus prevotii,,,bacterial,,33034,,is a known pathogen,,,1,1.0.0
Anaplasma phagocytophilum,,,bacterial,,948,NC_021880.1,is a known pathogen,,,1,1.0.0
Arcanobacterium haemolyticum,,,bacterial,,28264,NZ_LS483427.1,is a known pathogen,,,1,1.0.0
Arcobacter butzleri,,,bacterial,,,,is a known pathogen,,,1,1.0.1
Bacillus anthracis,,,bacterial,Anthrax,1392,NC_007530.2,is a known pathogen ,,Yes,1,1.0.0
Bacillus cereus,,,bacterial,,1396,NZ_CP017060.1,is a known pathogen,,,1,1.0.0
Bacillus coagulans,,,bacterial,,1398,NZ_CP009709.1,is a known pathogen,,,1,1.0.0
Bacillus licheniformis,,,bacterial,,1402,NZ_CP014842.1,is a known pathogen,,,1,1.0.0
Bacteroides fragilis,,,bacterial,,,,is a known pathogen,,Yes,27,1.0.0
