#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Emiliania huxleyi CCMP1516	280463	PRJNA77753	77753	Protists	Other Protists	167.676	64.5	GCA_000372725.1	-	AHAL01	7795	38549	38554	19/4/2013	1/8/2014	Scaffold	JGI	SAMN02744062
Leishmania major strain Friedlin	347515	PRJNA10724	10724	Protists	Kinetoplasts	32.8551	59.7114	GCA_000002725.2	chromosome 1:NC_001905.3/FR796397.1; chromosome 2:NC_007244.2/FR796398.1; chromosome 3:NC_004916.2/FR796399.1; chromosome 4:NC_007245.2/FR796400.1; chromosome 5:NC_007246.2/FR796401.1; chromosome 6:NC_007247.2/FR796402.1; chromosome 7:NC_007248.2/FR796403.1; chromosome 8:NC_007249.2/FR796404.1; chromosome 9:NC_007250.2/FR796405.1; chromosome 10:NC_007251.2/FR796406.1; chromosome 11:NC_007252.2/FR796407.1; chromosome 12:NC_007253.2/FR796408.1; chromosome 13:NC_007254.2/FR796409.1; chromosome 14:NC_007255.2/FR796410.1; chromosome 15:NC_007256.2/FR796411.1; chromosome 16:NC_007257.2/FR796412.1; chromosome 17:NC_007258.2/FR796413.1; chromosome 18:NC_007259.2/FR796414.1; chromosome 19:NC_007260.2/FR796415.1; chromosome 20:NC_007261.2/FR796416.1; chromosome 21:NC_007262.2/FR796417.1; chromosome 22:NC_007263.2/FR796418.1; chromosome 23:NC_007264.2/FR796419.1; chromosome 24:NC_007265.2/FR796420.1; chromosome 25:NC_007266.2/FR796421.1; chromosome 26:NC_007267.2/FR796422.1; chromosome 27:NC_007268.2/FR796423.1; chromosome 28:NC_007269.2/FR796424.1; chromosome 29:NC_007270.2/FR796425.1; chromosome 30:NC_007271.2/FR796426.1; chromosome 31:NC_007272.2/FR796427.1; chromosome 32:NC_007273.2/FR796428.1; chromosome 33:NC_007285.2/FR796429.1; chromosome 34:NC_007286.2/FR796430.1; chromosome 35:NC_007284.2/FR796431.1; chromosome 36:NC_007287.2/FR796432.1	-	36	9388	8316	29/6/1998	16/6/2017	Complete Genome	Friedlin Consortium	SAMEA3138173
Trypanosoma brucei brucei TREU927	185431	PRJNA11756	11756	Protists	Kinetoplasts	26.0755	46.4407	GCA_000002445.1	chromosome 1:NC_008409.1/AL929603.2; chromosome 2:NC_005063.2/AE017150.2; chromosome 3:NC_007276.1/CP000066.1; chromosome 4:NC_007277.1/CP000067.1; chromosome 5:NC_007278.1/CP000068.1; chromosome 6:NC_007279.1/CP000069.1; chromosome 7:NC_007280.1/CP000070.1; chromosome 8:NC_007281.1/CP000071.1; chromosome 9:NC_007282.1/CM000207.1; chromosome 10:NC_007283.1/CM000208.1	-	12	10221	8758	7/10/2002	11/4/2018	Chromosome	Trypanosoma brucei consortium	SAMN02953625
Trypanosoma cruzi	5693	PRJNA11755	11755	Protists	Kinetoplasts	89.9375	51.7	GCA_000209065.1	-	AAHK01	29495	25100	19607	14/7/2005	27/5/2022	Scaffold	Trypanosoma cruzi consortium	SAMN02953627
Giardia intestinalis	5741	PRJNA1439	1439	Protists	Other Protists	12.0782	49.7345	GCA_000002435.2	chromosome 1:NC_051856.1/CM018789.1; chromosome 2:NC_051857.1/CM018790.1; chromosome 3:NC_051858.1/CM018791.1; chromosome 4:NC_051859.1/CM018792.1; chromosome 5:NC_051860.1/CM018793.1	AACB03	35	5306	4965	26/3/2003	6/11/2019	Chromosome	Marine Biological Laboratory	SAMN02952905
Entamoeba histolytica HM-1:IMSS	294381	PRJNA142	142	Protists	Other Protists	20.8354	24.3	GCA_000208925.2	-	AAFB02	1529	8321	8163	9/12/2004	27/5/2022	Scaffold	J. Craig Venter Institute (TIGR)	SAMN02953605
Eimeria tenella	5802	PRJEB4863	224694	Protists	Apicomplexans	51.8944	51.0796	GCA_000499545.1	apicoplast Pltd:NC_004823.1/	CBUW01	4665	8683	8609	30/10/2013	30/1/2015	Scaffold	"Wellcome Trust Sanger Institute, Wellcome Genome Campus"	SAMEA3138819
Cryptosporidium parvum Iowa II	353152	PRJNA144	144	Protists	Apicomplexans	9.10232	30.2256	GCA_000165345.1	chromosome 1:NC_006980.1/CM000429.1; chromosome 2:NC_006981.1/CM000430.1; chromosome 3:NC_006982.1/CM000431.1; chromosome 4:NC_006983.1/CM000432.1; chromosome 5:NC_006984.1/CM000433.1; chromosome 6:NC_006985.1/CM000434.1; chromosome 7:NC_006986.1/CM000435.1; chromosome 8:NC_006987.1/CM000436.1	AAEE01	8	7774	7610	5/4/2004	11/11/2009	Chromosome	Univ. Minnesota	SAMN02952908
Toxoplasma gondii ME49	508771	PRJNA28893	28893	Protists	Apicomplexans	65.6681	52.2873	GCA_000006565.2	chromosome Ia:NC_031467.1/CM002034.1; chromosome Ib:NC_031468.1/CM002035.1; chromosome II:NC_031469.1/CM002036.1; chromosome III:NC_031470.1/CM002037.1; chromosome IV:NC_031471.1/CM002038.1; chromosome V:NC_031472.1/CM002039.1; chromosome VI:NC_031473.1/CM002040.1; chromosome VIIa:NC_031474.1/CM002041.1; chromosome VIIb:NC_031475.1/CM002042.1; chromosome VIII:NC_031476.1/CM002043.1; chromosome IX:NC_031477.1/CM002044.1; chromosome X:NC_031478.1/CM002045.1; chromosome XI:NC_031479.1/CM002046.1; chromosome XII:NC_031480.1/CM002047.1; apicoplast Pltd:NC_001799.1/	ABPA02	2277	8925	8318	20/5/2008	20/10/2016	Chromosome	J. Craig Venter Institute	SAMN00255192
Plasmodium berghei ANKA	5823	PRJEB5710	256943	Protists	Apicomplexans	18.7806	22.0454	GCA_900002375.2	chromosome 1:NC_036159.2/LK023116.2; chromosome MIT:LK023131.1; chromosome 2:NC_036160.2/LK023117.2; chromosome API:LK023130.2; chromosome 3:NC_036161.2/LK023118.2; chromosome 4:NC_036162.2/LK023119.2; chromosome 5:NC_036163.2/LK023120.2; chromosome 6:NC_036164.2/LK023121.2; chromosome 7:NC_036165.2/LK023122.2; chromosome 8:NC_036166.2/LK023123.2; chromosome 9:NC_036167.2/LK023124.2; chromosome 10:NC_036168.2/LK023125.2; chromosome 11:NC_036169.2/LK023126.2; chromosome 12:NC_036170.2/LK023127.2; chromosome 13:NC_036171.2/LK023128.2; chromosome 14:NC_036172.2/LK023129.2; mitochondrion MT:NC_015303.1/	CABFNT01	21	5260	4954	27/8/2014	11/6/2019	Chromosome	"Wellcome Trust Sanger Institute, Wellcome Genome Campus"	SAMEA736069
